Index,volatility20A,volatility20AAL,volatility20AAP,volatility20AAPL,volatility20ABBV,volatility20ABC,volatility20ABMD,volatility20ABT,volatility20ACN,volatility20ADBE,volatility20ADI,volatility20ADM,volatility20ADP,volatility20ADS,volatility20ADSK,volatility20AEE,volatility20AEP,volatility20AES,volatility20AFL,volatility20AGN,volatility20AIG,volatility20AIV,volatility20AIZ,volatility20AJG
2016-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-15,0.325382646599422,0.424274435568697,0.329437083157751,0.377794522308116,0.661776338061628,0.28389204365788,0.423813981687933,0.284398055373814,0.313519236927295,0.236200046330333,0.343624989830088,0.330295918730233,0.281005807828792,0.355694511684094,0.589177781431531,0.122515803357255,0.169180638382752,0.373551641628056,0.183564657954347,0.316671403881076,0.224425581378464,0.230904081132658,0.243047845091316,0.233432504919516
2016-01-19,0.330843941131216,0.425967632751446,0.332279636670452,0.364805926313101,0.698492457712721,0.247805901465531,0.432056762809738,0.282967269511219,0.337345635335301,0.233110512219199,0.343391909911045,0.302980164595526,0.300701234123981,0.347789044034686,0.575548516720014,0.104828407932192,0.182151690947575,0.390555547558537,0.183123076212137,0.314128088839641,0.220935580266361,0.177386533143685,0.222605631028982,0.225670208120738
2016-01-20,0.327293737092574,0.410196216684066,0.306731102120941,0.35790142456414,0.736585740010146,0.249172392840405,0.477184046099505,0.284179993228282,0.357771873152997,0.232538024458194,0.319748454225348,0.381887642047974,0.2998537223174,0.351832112060297,0.600091097051127,0.165866646919581,0.24013150532324,0.361127562755781,0.185893803142455,0.310679212020083,0.227360567231522,0.230279795679038,0.247371769478799,0.216862700355134
2016-01-21,0.258378347665181,0.420865059792105,0.297694845826762,0.272312144378553,0.745094940359493,0.220948485175706,0.420217247489616,0.267183050239205,0.322887322451869,0.207806733815306,0.287061576699838,0.414512861271453,0.263390086438602,0.338441026252166,0.564811702636512,0.163600543669507,0.234143999400685,0.474773936751003,0.177233964207291,0.319126534731127,0.21780946418072,0.23488565164132,0.221020814436669,0.203565240579295
2016-01-22,0.287977787448595,0.425045142966596,0.277941740502116,0.391365854141823,0.722977095499945,0.233374537076601,0.452769487463596,0.267358734618975,0.382157629803364,0.215996176405751,0.293620323621797,0.491755841919349,0.282316350384767,0.329736826718962,0.607113106620094,0.205057425958057,0.25068007071588,0.469670674273098,0.228291920235934,0.317700046828118,0.245291407648495,0.275022059302612,0.253694849110784,0.255871680795048
2016-01-25,0.278044482966208,0.440501961707267,0.270757466140443,0.40547919039098,0.688630939309712,0.132090387944543,0.475629064039872,0.269372947814029,0.383216259326406,0.263487192740008,0.268893402795677,0.504141371007162,0.296257803391942,0.330014240832777,0.600553877183709,0.206490228513801,0.255326466010465,0.536502006247993,0.236599394701935,0.319600862006417,0.255001511609232,0.26805656171192,0.266240441226002,0.263807830933916
2016-01-26,0.274312251495666,0.434904613440844,0.371963189493431,0.39869705114473,0.691586543750049,0.130718869606473,0.464602350548808,0.257490622792011,0.374088788409576,0.260583145653703,0.264629220107917,0.552448785453531,0.294074310999753,0.33133809819723,0.614799652030485,0.207609461257674,0.254623794168177,0.540938960419969,0.245972784462043,0.314841457177683,0.262580369886685,0.320210562367421,0.27484219253556,0.273072348951558
2016-01-27,0.201073243501533,0.362269878708901,0.267616053160948,0.529887104413642,0.553148004211745,0.1322943281699,0.485054480156254,0.211453277968473,0.359486116582101,0.273891390320587,0.195133938821287,0.537087861920642,0.242370021802211,0.280358244890836,0.527768585417641,0.215055597188642,0.25358804168358,0.531955132293624,0.229102419889677,0.279207523919148,0.268083955334576,0.310436225654329,0.273140432893102,0.243221023910087
2016-01-28,0.206932015269342,0.406927516452946,0.297984952897804,0.511971281376537,0.48026754316933,0.190402833657653,0.461539337684254,0.542719092012465,0.336385931488033,0.242413372080405,0.196486434939369,0.555270103795005,0.220432648741511,1.15077084093015,0.458249054904083,0.218786851275871,0.256429182503802,0.520925186017327,0.239273153679424,0.199846120962815,0.25648707380937,0.296218492116655,0.26831781705912,0.242456026518516
2016-01-29,0.314504207728701,0.3585626042809,0.302266674253629,0.540128790187889,0.393823080106856,0.260892134873571,0.536437206300227,0.589810815045713,0.310311279385615,0.402587531853944,0.253531048428009,0.414222354362208,0.236467637454099,1.16331155526791,0.432270309922777,0.249875209289236,0.281829504432256,0.486323856175938,0.228984651836005,0.212540807448165,0.302459337941653,0.327337493995688,0.279790134890614,0.333050742286211
